Año,Mes,Grupo,Subgrupo,Indicador_grup,Indicador
2011,Noviembre,Alimentos y No alimentos,Alimentos,0.72,Variación mensual
2011,Noviembre,Alimentos y No alimentos,Alimentos,8.08,Variación anual
2011,Noviembre,Alimentos y No alimentos,Alimentos,7,Variación acumulada
2011,Diciembre,Alimentos y No alimentos,Alimentos,90.71,Índice
2011,Diciembre,Alimentos y No alimentos,Alimentos,-0.16,Variación mensual
2011,Diciembre,Alimentos y No alimentos,Alimentos,6.83,Variación anual
2011,Diciembre,Alimentos y No alimentos,Alimentos,6.83,Variación acumulada
2012,Enero,Alimentos y No alimentos,Alimentos,91.14,Índice
2012,Enero,Alimentos y No alimentos,Alimentos,0.47,Variación mensual
2012,Enero,Alimentos y No alimentos,Alimentos,6.05,Variación anual
2012,Enero,Alimentos y No alimentos,Alimentos,0.47,Variación acumulada
2012,Febrero,Alimentos y No alimentos,Alimentos,92.06,Índice
2012,Febrero,Alimentos y No alimentos,Alimentos,1.01,Variación mensual
2012,Febrero,Alimentos y No alimentos,Alimentos,6.13,Variación anual
2012,Febrero,Alimentos y No alimentos,Alimentos,1.49,Variación acumulada
2012,Marzo,Alimentos y No alimentos,Alimentos,94.32,Índice
2012,Marzo,Alimentos y No alimentos,Alimentos,2.46,Variación mensual
2012,Marzo,Alimentos y No alimentos,Alimentos,8.15,Variación anual
2012,Marzo,Alimentos y No alimentos,Alimentos,3.98,Variación acumulada
2012,Abril,Alimentos y No alimentos,Alimentos,93.92,Índice
2012,Abril,Alimentos y No alimentos,Alimentos,-0.42,Variación mensual
2012,Abril,Alimentos y No alimentos,Alimentos,6.11,Variación anual
2012,Abril,Alimentos y No alimentos,Alimentos,3.54,Variación acumulada
2012,Mayo,Alimentos y No alimentos,Alimentos,93.09,Índice
2012,Mayo,Alimentos y No alimentos,Alimentos,-0.88,Variación mensual
2012,Mayo,Alimentos y No alimentos,Alimentos,4.44,Variación anual
2012,Mayo,Alimentos y No alimentos,Alimentos,2.63,Variación acumulada
2012,Junio,Alimentos y No alimentos,Alimentos,93.13,Índice
2012,Junio,Alimentos y No alimentos,Alimentos,0.04,Variación mensual
